date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:39	1469/1469	---M--	200	added ('OK')	image/png	etag:%225bd-5c2c5fbd48c98%22	https://nz.talent.com/public/assets/img/page_hover.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/page_hover.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:39	9413/9413	---M--	200	added ('OK')	image/png	etag:%2224c5-5c2c5fbd48c98%22	https://nz.talent.com/public/assets/img/warning.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/warning.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:40	83792/83792	---M--	200	added ('OK')	image/gif	etag:%2214750-5c2c5fbd46d58%22	https://nz.talent.com/public/assets/img/app_sent.gif	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/app_sent.gif	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:41	392/392	---M--	200	added ('OK')	image/png	etag:%22188-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/close_green.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/close_green.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:41	1531/1531	---M--	200	added ('OK')	image/png	etag:%225fb-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/logo_google.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/logo_google.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:41	16752/16752	---M--	200	added ('OK')	image/png	etag:%224170-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/email%20box.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/email%20box.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:42	1004/1004	---M--	200	added ('OK')	image/png	etag:%223ec-5c2c5fbd48c98%22	https://nz.talent.com/public/assets/img/v2_logo_facebook.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/v2_logo_facebook.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:42	1129/1129	---M--	200	added ('OK')	image/png	etag:%22469-5c2c5fbd48c98%22	https://nz.talent.com/public/assets/img/v2_logo_linkedin.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/v2_logo_linkedin.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:42	1095/1095	---M--	200	added ('OK')	image/png	etag:%22447-5c2c5fbd47cf8%22	https://nz.talent.com/public/assets/img/edit.png	C:/My%20Web%20Sites/Tax%20Calc/nz.talent.com/public/assets/img/edit.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
13:50:43	1195/1195	---M--	200	added ('OK')	image/png	etag:%22ddde862fc05dc3edd8eb10cfddfa0031%22	https://cdn-static.talent.com/img/growth-hacking/organic-test/img-close-transparent.png	C:/My%20Web%20Sites/Tax%20Calc/cdn-static.talent.com/img/growth-hacking/organic-test/img-close-transparent.png	(from https://nz.talent.com/public/assets/css/default.css?v=2021-06-Sat:09:001)
